parent,standard_name,old_cui,old_resolved,new_cui (current),new_resolved (UMLS),concept_type
allicin,Allicin,C0051140,ALE 36,C0051200,allicin,exact/base (accept)
alpha_carotene,Alpha-Carotene,C0052486,asialo-carcinoembryonic antigen,C0051336,alpha-carotene,exact/base (accept)
alpha_lipoic_acid,Alpha Lipoic Acid,C0064585,lactitol,C0023791,thioctic acid,exact/base (accept)
apigenin,Apigenin,C0048689,4-propionyloxy-4-phenyl-N-methylpiperidine,C0912024,apigenin,exact/base (accept)
ashwagandha,Ashwagandha,C1170179,Coldmist,C0613707,Ashwagandha preparation,extract/preparation (review)
astaxanthin,Astaxanthin,C0162316,Iron deficiency anemia,C0052565,astaxanthin,exact/base (accept)
beta-alanine,Beta-Alanine,C0074950,,C0000392,beta-alanine,exact/base (accept)
bilberry,Bilberry,C0281934,,C0453269,bilberry extract,extract/preparation (review)
boron,Boron,C0006057,Botulism,C0006030,boron,exact/base (accept)
brown_kelp,Brown Kelp,(null),(none),C0022980,Laminaria,exact/base (accept)
celadrin,Celadrin,(null),(none),C5390919,Celadrin,exact/base (accept)
chlorella,Chlorella,C0246281,COSS-86 protocol,C0008190,Chlorella,exact/base (accept)
choline,Choline,C0008489,Chorea,C0008405,choline,exact/base (accept)
chondroitin,Chondroitin,C0008494,,C0008454,Chondroitin,exact/base (accept)
chromium,Chromium,C0008670,"Chromosomes, Human, Pair 7",C0008574,chromium,exact/base (accept)
citrus_bioflavonoids,Citrus Bioflavonoids,C0595900,Blood chloride increased,C0982043,citrus bioflavonoids,exact/base (accept)
collagen,Collagen,C0009368,Colon structure (body structure),C0009325,collagen,exact/base (accept)
common_bean_extract,Common Bean Extract,(null),(none),C4321296,Phaseolus vulgaris whole extract,extract/preparation (review)
copper,Copper,C0010175,,C0009968,copper,exact/base (accept)
coq10,Coenzyme Q10,C0009384,,C0041536,ubidecarenone,exact/base (accept)
corn_silk,Corn Silk,(null),(none),C0937769,corn silk preparation,extract/preparation (review)
cranberry,Cranberry,C0678177,Suprax,C0453273,cranberry preparation,extract/preparation (review)
creatine_monohydrate,Creatine Monohydrate,C0079823,,C0873188,creatine monohydrate,exact/base (accept)
cryptoxanthin,Cryptoxanthin,C0079171,,C0896117,Beta-Cryptoxanthin,exact/base (accept)
curcumin,Curcumin,C0010598,Cyclothymic Disorder,C0010467,curcumin,exact/base (accept)
cyanidin_3_glucoside,Cyanidin-3-Glucoside,C0378245,,C3489523,cyanidin-3-glucoside,exact/base (accept)
d_aspartic_acid,D-Aspartic Acid,C0085845,aspartate,C0949755,D-Aspartic Acid,exact/base (accept)
d_limonene,D-Limonene,C0064997,linalool,C0064992,limonene,exact/base (accept)
d_ribose,D-Ribose,C0035687,RNA Splicing,C0035549,ribose,exact/base (accept)
dandelion,Dandelion,C0950252,"limonene, (+)- [d-limonene]",C0877851,Taraxacum officinale,exact/base (accept)
dhea,DHEA (Dehydroepiandrosterone),C0011083,,C0011185,prasterone,exact/base (accept)
digestive_enzymes,Digestive Enzymes,C0017168,Gastroesophageal reflux disease,C0544420,Digestive Enzymes,exact/base (accept)
diindolylmethane,Diindolylmethane,C0057317,Hepatitis delta Antigens,C0163151,"3,3'-diindolylmethane",exact/base (accept)
dmae,DMAE (Dimethylaminoethanol),C0001833,,C0011064,deanol,exact/base (accept)
echinacea,Echinacea,C0013599,,C0752270,Echinacea preparation,extract/preparation (review)
egcg,Egcg,C0059514,ergonovine maleate,C0059438,epigallocatechin gallate,exact/base (accept)
elderberry,Elderberry,C1456405,Delivery length of stay booking (procedure),C1095913,elderberry preparation,extract/preparation (review)
ellagic_acid,Ellagic Acid,C0013894,,C0013900,ellagic acid,exact/base (accept)
ergothioneine,Ergothioneine,C0014700,,C0014713,ergothioneine,exact/base (accept)
eriocitrin,Eriocitrin,C1170498,PMS-Fluox,C0757990,eriocitrin,exact/base (accept)
evening_primrose_oil,Evening Primrose Oil,(null),(none),C0700602,evening primrose oil,exact/base (accept)
flavones,Flavones,C0016129,Fingers,C0016219,Flavones,exact/base (accept)
flavonoids,Flavonoids,C0016131,,C0596577,Flavonoids,exact/base (accept)
flavonols,Flavonols,C0596577,Flavonoids,C0060444,Flavonols,exact/base (accept)
gaba,GABA (Gamma-Aminobutyric Acid),C0016903,,C0016904,gamma-aminobutyric acid,exact/base (accept)
garlic,Garlic,C0017076,,C0993630,Garlic,exact/base (accept)
ginkgo,Ginkgo,C0017574,Gingivitis,C0772125,Ginkgo biloba extract,extract/preparation (review)
ginseng,Ginseng,C0017579,,C1119918,ginseng preparation,extract/preparation (review)
ginsenosides,Ginsenosides,C0017686,,C0061278,Ginsenosides,exact/base (accept)
glucosamine,Glucosamine,C0017611,,C0017718,glucosamine,exact/base (accept)
glutathione,Glutathione,C0018150,Gram Negative Bacteria,C0017817,glutathione,exact/base (accept)
glycyrrhizin,Glycyrrhizin,C0061996,guar gum,C0061751,glycyrrhizic acid,exact/base (accept)
grape_seed_extract,Grape Seed Extract,C0246271,,C0772454,grape seed extract,extract/preparation (review)
green_tea_extract,Green Tea Extract,C0246278,,C1704263,green tea extract,extract/preparation (review)
horsetail,Horsetail,(null),(none),C0331746,Equisetum arvense,exact/base (accept)
hyaluronic_acid,Hyaluronic Acid,C0010395,Subphylum Crustacea,C0020196,hyaluronic acid,exact/base (accept)
hyperforin,Hyperforin,C0250248,,C0063217,hyperforin,exact/base (accept)
hypericin,Hypericin,C0000521,,C0063220,hypericin,exact/base (accept)
inositol,Inositol,C0021641,Insulin,C0021547,inositol,exact/base (accept)
iron,Iron,C0021776,Intermittent Explosive Disorder,C0302583,iron,exact/base (accept)
isoflavones,Isoflavones,C0049620,6-hydroxymethylpterin,C0022179,Isoflavones,exact/base (accept)
l_alanine,L-Alanine,C0001896,Alabaster,C0001898,alanine,exact/base (accept)
l_arginine,L-Arginine,C0030897,pentosyltransferase,C0003765,arginine,exact/base (accept)
l_carnitine,L-Carnitine,C0023118,,C0087163,levocarnitine,exact/base (accept)
l_cysteine,L-Cysteine,C0010692,Cystitis,C0010654,cysteine,exact/base (accept)
l_glutamic_acid,L-Glutamic Acid,C0017792,,C0061472,glutamic acid,exact/base (accept)
l_glutamine,L-Glutamine,C0017765,Glucosides,C0017797,glutamine,exact/base (accept)
l_glycine,L-Glycine,C0017890,glycine,C0017890,glycine,exact/base (accept)
l_isoleucine,L-Isoleucine,C0022100,Irrigation,C0022192,isoleucine,exact/base (accept)
l_leucine,L-Leucine,C0023492,"Leukemia, T-Cell",C0023401,leucine,exact/base (accept)
l_lysine,L-Lysine,C0024228,Lymphatic Diseases,C0024337,lysine,exact/base (accept)
l_ornithine,L-Ornithine,C0029235,Organism,C0029277,ornithine,exact/base (accept)
l_proline,L-Proline,C0033306,Progestins,C0033382,proline,exact/base (accept)
