parent,standard_name,old_rxcui,old_resolved,new_rxcui (current),new_resolved / reason,action
5_htp,5-HTP,258326,St. John's wort extract,94,5-hydroxytryptophan,replace
acetyl_l_carnitine,Acetyl-L-Carnitine,40799,,193,acetylcarnitine,replace
alpha_lipoic_acid,Alpha Lipoic Acid,19721,,6417,thioctic acid,replace
ashwagandha,Ashwagandha,11176,,(null),prior 11176 unverifiable via RxNorm (no concept name); cleared pending verification,null
astaxanthin,Astaxanthin,1165380,,18451,astaxanthin,replace
beta-alanine,Beta-Alanine,1981,canrenoate potassium,61,beta-alanine,replace
bilberry,Bilberry,11155,,125929,bilberry extract,replace
boron,Boron,19718,,1705,boron,replace
caffeine,Caffeine,2103,,1886,caffeine,replace
calcium,Calcium,1898,,1895,calcium,replace
choline,Choline,2079,,(null),RxNorm resolves 'Choline' only to a salt-specific PIN (1425426 (choline chloride)); left null to avoid over-specific ID on a broad parent (2026-06-06),null
chondroitin,Chondroitin,23874,,2473,chondroitin sulfates,replace
chromium,Chromium,2403,chlorpromazine,2496,chromium,replace
copper,Copper,3002,cyclophosphamide,2837,copper,replace
coq10,Coenzyme Q10,309268,,21406,ubidecarenone,replace
cranberry,Cranberry,11179,,125933,cranberry preparation,replace
creatine_monohydrate,Creatine Monohydrate,2231,cephalexin,1310467,creatine monohydrate,replace
cryptoxanthin,Cryptoxanthin,1116063,,(null),prior 1116063 unverifiable via RxNorm (no concept name); cleared pending verification,null
dhea,DHEA (Dehydroepiandrosterone),3310,,3143,prasterone,replace
echinacea,Echinacea,11163,,228041,Echinacea preparation,replace
gaba,GABA (Gamma-Aminobutyric Acid),3264,dexamethasone,4617,gamma-aminobutyric acid,replace
garlic,Garlic,12536,,265647,garlic preparation,replace
ginger,Ginger,258322,,285241,ginger extract,replace
ginkgo,Ginkgo,12522,,236809,Ginkgo biloba extract,replace
ginseng,Ginseng,12523,,325526,ginseng preparation,replace
glucosamine,Glucosamine,3520,,(null),RxNorm resolves 'Glucosamine' only to a salt-specific PIN (236608 (glucosamine hydrochloride)); left null to avoid over-specific ID on a broad parent (2026-06-06),null
glutathione,Glutathione,3586,,4890,glutathione,replace
hyaluronic_acid,Hyaluronic Acid,3498,diphenhydramine,5463,hyaluronic acid,replace
inositol,Inositol,5813,,5833,inositol,replace
l_alanine,L-Alanine,206,,426,alanine,replace
l_arginine,L-Arginine,16478,,1091,arginine,replace
l_carnitine,L-Carnitine,20279,,(null),RxNorm resolves 'L-Carnitine' only to a salt-specific PIN (1426681 (levocarnitine hydrochloride)); left null to avoid over-specific ID on a broad parent (2026-06-06),null
l_citrulline,L-Citrulline,2231,cephalexin,2567,citrulline,replace
l_cysteine,L-Cysteine,4105,,3024,cysteine,replace
